,City,Lat,Lon,Temp,Humidity
48,butaritari,3.07,172.79,28.11,77
49,pietermaritzburg,-29.62,30.39,16.03,89
50,taoudenni,22.68,-3.98,36.07,23
51,fortuna,40.6,-124.16,20.31,55
52,bilma,18.69,12.92,33.7,12
53,port elizabeth,-33.92,25.57,21.0,49
54,rosh pinna,32.97,35.54,20.0,86
55,ambilobe,-13.2,49.05,18.77,82
56,pisco,-13.7,-76.22,18.46,72
57,batagay-alyta,67.8,130.41,2.05,83
58,chaklasi,22.65,72.93,28.0,83
59,yining,29.04,114.56,24.36,93
60,georgetown,5.41,100.34,26.73,83
61,aklavik,68.22,-135.01,7.0,81
62,kalmunai,7.42,81.82,27.14,77
63,upernavik,72.79,-56.15,0.85,91
64,calvinia,-31.47,19.78,8.75,87
65,hermanus,-34.42,19.23,14.44,84
66,port alfred,-33.59,26.89,25.0,31
67,kattivakkam,13.22,80.32,31.0,62
68,san patricio,19.22,-104.7,27.0,78
69,sur,22.57,59.53,29.51,72
70,joshimath,30.57,79.57,16.78,57
71,chokurdakh,70.63,147.92,3.68,76
72,nanortalik,60.14,-45.24,8.81,67
73,luderitz,-26.65,15.16,14.47,91
74,noumea,-22.28,166.46,23.21,78
75,srednekolymsk,67.45,153.68,21.14,40
76,auki,-8.77,160.7,28.87,68
77,atuona,-9.8,-139.03,27.13,78
78,port hardy,50.7,-127.42,13.0,82
79,darhan,49.49,105.92,11.31,58
80,lovington,32.94,-103.35,28.73,5
81,san cristobal,7.77,-72.22,34.0,36
82,orgtrud,56.18,40.61,15.52,91
83,leningradskiy,69.38,178.42,16.03,41
84,saskylakh,71.92,114.08,4.57,69
85,williams lake,52.14,-122.14,10.0,66
86,ribeira grande,38.52,-28.7,18.19,72
87,esperance,-33.87,121.9,10.0,57
88,pingliang,35.54,106.69,14.2,86
89,sao joao da barra,-21.64,-41.05,24.0,78
90,verkhniy baskunchak,48.23,46.72,25.11,47
91,mlonggo,-6.53,110.7,24.87,83
92,normandin,48.83,-72.53,21.0,22
93,shingu,33.73,135.98,19.38,94
94,havoysund,71.0,24.66,5.0,65
95,qaqortoq,60.72,-46.03,15.0,33
96,akyab,20.15,92.9,28.11,83
97,sao joaquim,-28.29,-49.93,13.13,100
98,tiksi,71.69,128.87,-0.97,93
99,hithadhoo,-0.6,73.08,28.62,70
100,bambous virieux,-20.34,57.76,20.79,83
101,benalla,-36.55,145.98,4.01,100
102,marsaxlokk,35.84,14.54,20.0,68
103,state college,40.79,-77.86,30.29,42
104,tuatapere,-46.13,167.68,11.11,88
105,vestmanna,62.16,-7.17,9.0,93
106,tayu,-6.54,111.05,24.13,86
107,takoradi,4.88,-1.76,25.95,86
108,lebu,-37.62,-73.65,11.16,76
109,umm kaddadah,13.6,26.69,27.63,60
110,begun,24.98,75.0,28.85,56
111,mamlyutka,54.94,68.54,18.79,63
112,yumen,40.28,97.2,16.08,24
113,mountain home,43.13,-115.69,22.0,30
114,yulara,-25.24,130.99,3.0,55
115,provideniya,64.38,-173.3,5.0,75
116,tadine,-21.55,167.88,23.32,79
117,tura,25.52,90.22,25.27,74
118,aksu,41.12,80.26,17.46,61
119,bintulu,3.17,113.03,23.94,94
120,ilulissat,69.22,-51.1,3.0,74
121,yongchang,30.04,119.73,25.0,93
122,souillac,-20.52,57.52,21.0,83
123,tabou,4.42,-7.35,25.76,87
124,college,64.86,-147.8,21.51,45
125,vila franca do campo,37.72,-25.43,17.0,77
126,slonim,53.09,25.32,18.28,91
127,okhotsk,59.38,143.3,5.7,94
128,portland,45.52,-122.68,15.7,77
129,roros,62.57,11.38,10.0,76
130,saldanha,-33.01,17.94,14.0,93
131,mayo,38.89,-76.51,28.04,69
132,pathein,16.78,94.73,26.65,84
133,yellowknife,62.46,-114.35,7.92,65
134,dunedin,-45.87,170.5,12.78,55
135,nikolskoye,59.7,30.79,16.57,88
136,malpe,13.35,74.72,26.0,94
137,bourail,-21.57,165.48,23.25,75
138,torbay,47.67,-52.73,5.99,70
139,arcachon,44.59,-1.05,13.62,87
140,acapulco,16.86,-99.89,31.0,62
141,nyurba,63.28,118.33,11.77,88
142,morant bay,17.88,-76.41,28.65,78
143,bol,13.46,14.71,30.56,56
144,lagoa,39.05,-27.98,17.57,83
145,bandarbeyla,9.49,50.81,28.04,73
146,khatanga,71.97,102.5,10.15,43
147,kutum,14.2,24.67,27.1,16
148,olafsvik,64.89,-23.71,6.68,85
149,boa vista,2.82,-60.67,25.0,88
150,tuktoyaktuk,69.45,-133.04,7.0,70
151,oktyabrskoye,43.06,44.74,17.89,93
152,nago,26.59,127.98,24.68,88
153,thompson,55.74,-97.86,11.0,93
154,iqaluit,63.75,-68.51,1.83,74
155,grindavik,63.84,-22.43,8.0,87
156,golyshmanovo,56.4,68.37,18.64,58
157,morondava,-20.28,44.28,21.28,71
158,bratsk,56.13,101.61,8.94,100
159,coihaique,-45.58,-72.07,7.0,84
160,hami,42.8,93.45,22.1,21
161,kaitangata,-46.28,169.85,12.78,55
162,hasanabad,36.55,61.05,22.0,28
163,gangapur,26.48,76.72,33.07,34
164,severo-kurilsk,50.68,156.12,8.88,72
165,turek,52.02,18.5,14.4,87
166,ahipara,-35.17,173.17,14.98,74
167,cortez,37.35,-108.59,19.54,16
168,intipuca,13.2,-88.05,33.03,44
169,nimes,43.83,4.35,15.0,72
170,broome,42.25,-75.83,29.36,39
171,grand gaube,-20.01,57.66,20.56,78
172,kupang,-10.17,123.58,25.0,78
173,moranbah,-22.0,148.05,14.58,80
174,wanning,18.8,110.4,27.09,89
175,husavik,66.04,-17.34,8.0,87
176,vila velha,-20.33,-40.29,23.17,88
177,agadir,30.42,-9.6,20.0,68
178,dalbandin,28.89,64.41,28.66,15
179,mar del plata,-38.0,-57.56,10.98,57
180,port blair,11.67,92.75,27.88,78
181,talakan,50.32,130.37,15.98,65
182,kewanee,41.25,-89.92,23.68,95
183,porto recanati,43.44,13.66,17.29,88
184,waddan,29.16,16.14,28.07,35
185,boiro,42.65,-8.9,13.36,76
186,bowen,-20.02,148.23,18.23,93
187,santa vitoria,-18.84,-50.12,23.6,63
188,karaton,-6.34,106.1,25.75,88
189,victoria,22.29,114.16,27.05,74
190,hasaki,35.73,140.83,22.86,88
191,arawa,-6.21,155.54,28.31,71
192,pevek,69.7,170.31,9.34,54
193,te anau,-45.42,167.72,9.07,74
194,san quintin,30.48,-115.95,25.33,32
195,lagos,6.58,3.75,27.0,83
196,shakawe,-18.37,21.85,12.71,46
197,skegness,53.14,0.34,11.45,76
198,beloha,-25.17,45.05,17.44,83
199,belyy yar,53.6,91.39,7.0,87
200,puerto escondido,15.85,-97.07,31.0,66
201,noyabrsk,63.2,75.45,13.53,88
202,brae,60.4,-1.35,8.0,75
203,qurayyat,31.33,37.34,25.0,31
204,sandviken,60.62,16.77,10.0,81
205,arraial do cabo,-22.97,-42.03,22.57,88
206,caravelas,-17.71,-39.25,22.31,91
207,hobyo,5.35,48.53,26.78,69
208,tebingtinggi,3.33,99.16,25.0,100
209,cherskiy,68.75,161.3,21.42,36
210,north bend,43.41,-124.22,19.0,52
211,kruisfontein,-34.0,24.73,16.66,51
212,sitka,57.05,-135.33,16.0,41
213,kavieng,-2.57,150.8,29.08,73
214,impfondo,1.64,18.07,22.72,88
215,omboue,-1.57,9.26,23.38,87
216,gat,31.61,34.76,20.45,81
217,harnosand,62.63,17.94,8.42,87
218,port lincoln,-34.73,135.87,9.67,52
219,fairbanks,64.84,-147.72,21.4,49
220,sao jose da coroa grande,-8.9,-35.15,24.95,84
221,yuanping,38.72,112.76,18.28,64
222,maldonado,-34.67,-54.92,12.08,93
223,lima,-12.04,-77.03,18.0,82
224,dingle,11.0,122.67,25.9,83
225,clyde river,70.47,-68.59,2.0,91
226,kidal,18.44,1.41,36.32,12
227,potrero del llano,21.05,-97.68,36.0,60
228,pingzhuang,42.04,119.29,18.01,75
229,warmbad,-28.45,18.73,11.74,70
230,road town,18.42,-64.62,28.58,70
231,lompoc,34.64,-120.46,26.45,39
232,hamilton,39.18,-84.53,28.17,74
233,katsuura,35.13,140.3,24.6,65
234,bud,39.45,-86.18,27.15,74
235,gayeri,12.65,0.49,29.42,50
236,rio gallegos,-51.62,-69.22,3.0,74
237,figeac,44.75,1.92,10.96,81
238,grenada,37.19,-3.61,17.4,42
239,rodrigues alves,-7.74,-72.65,28.43,71
240,itarema,-2.92,-39.92,25.82,83
241,geraldton,-28.77,114.6,12.0,54
242,whakatane,-37.96,176.99,7.78,88
243,sinegorye,62.08,150.48,11.51,61
244,vardo,70.37,31.11,5.0,75
245,touros,-5.2,-35.46,26.0,88
246,mwinilunga,-11.74,24.43,13.08,55
247,ponta do sol,32.67,-17.1,18.0,63
248,charters towers,-20.1,146.27,14.95,72
249,mfou,3.72,11.64,21.0,100
250,nome,64.5,-165.41,8.84,49
251,faya,18.39,42.45,23.0,43
252,tres arroyos,-38.37,-60.28,9.02,51
253,havelock,34.88,-76.9,27.17,54
254,hovd,48.01,91.64,10.19,64
255,mushabani,22.52,86.45,28.76,69
256,haverfordwest,51.8,-4.97,12.03,81
257,benito juarez,19.39,-99.17,25.85,31
258,sao marcos,-28.97,-51.07,15.6,99
259,cabo san lucas,22.89,-109.91,26.31,47
260,onega,63.91,38.14,11.95,86
261,talnakh,69.49,88.4,6.0,81
262,yashkul,46.17,45.34,23.45,40
263,salalah,17.02,54.09,29.0,94
264,abu samrah,35.3,37.18,23.36,37
265,carnarvon,-24.87,113.63,19.77,43
266,asau,46.43,26.4,16.11,82
267,saint-georges,12.06,-61.75,28.0,88
268,ambon,-3.7,128.18,25.0,94
269,masalli,34.8,126.66,22.0,94
270,los llanos de aridane,28.66,-17.92,19.42,78
271,karratha,-20.74,116.85,20.48,53
272,kulu,39.1,33.08,21.18,34
273,cam ranh,11.92,109.16,28.0,88
274,sinnamary,5.38,-52.95,25.48,84
275,afsin,38.25,36.91,17.71,55
276,yar-sale,66.83,70.83,15.32,74
277,sioux lookout,50.1,-91.92,19.0,82
278,yuxia,34.06,108.63,19.37,93
279,taonan,45.33,122.78,21.11,52
280,jizan,17.33,42.67,33.0,63
281,salacgriva,57.75,24.36,15.56,98
282,porto novo,6.5,2.6,27.0,83
283,margate,51.38,1.39,11.86,74
284,west bay,19.37,-81.42,29.81,74
285,kuito,-12.38,16.93,12.93,45
286,marsa matruh,31.35,27.25,25.0,38
287,hofn,64.25,-15.21,8.96,76
288,maxixe,-23.86,35.35,19.53,85
289,iskateley,67.68,53.15,12.57,85
290,cockburn town,21.46,-71.14,30.0,62
291,namibe,-15.2,12.15,18.68,81
292,korla,41.76,86.15,24.44,95
293,edremit,39.6,27.02,19.0,82
294,izhma,65.01,53.91,21.27,59
295,faanui,-16.48,-151.75,25.93,76
296,henties bay,-22.12,14.28,15.0,91
297,dovers,12.88,-61.18,28.0,78
298,pacific grove,36.62,-121.92,24.08,46
299,constitucion,-35.33,-72.42,10.52,71
300,lavrentiya,65.58,-171.0,2.55,84
301,sao desiderio,-12.36,-44.97,22.09,63
302,limbe,4.02,9.21,25.0,94
303,kushmurun,52.45,64.63,20.3,56
304,mgandu,-5.95,34.13,15.67,79
305,kushima,31.46,131.23,21.09,100
306,shaunavon,49.65,-108.42,15.56,53
307,heihe,50.24,127.49,16.0,63
308,zyryanka,65.75,150.85,20.3,41
309,longyan,25.11,117.02,22.41,89
310,half moon bay,37.46,-122.43,28.4,23
311,ramhormoz,31.28,49.6,32.44,11
312,mazabuka,-15.86,27.75,12.97,63
313,richards bay,-28.78,32.04,20.08,71
314,asfi,32.3,-9.24,19.29,75
315,chincha alta,-13.41,-76.13,18.37,72
316,bengkulu,-3.8,102.27,24.24,85
317,nokaneng,-19.67,22.27,12.56,41
318,orlik,52.52,99.83,3.58,76
319,longyearbyen,78.22,15.64,4.0,69
320,maple creek,49.92,-109.48,18.05,44
321,leiyang,26.4,112.86,23.92,95
322,mount isa,-20.73,139.5,12.0,71
323,okahandja,-21.98,16.92,14.0,61
324,lodwar,3.12,35.6,28.89,38
325,buala,-8.14,159.59,28.98,75
326,port hedland,-20.32,118.57,17.0,67
327,neepawa,50.23,-99.47,19.0,42
328,denpasar,-8.65,115.22,24.0,100
329,darnah,32.77,22.64,22.22,65
330,villefontaine,45.61,5.15,12.77,87
331,odweyne,9.41,45.06,23.79,63
332,chuy,-33.7,-53.46,12.55,89
333,axim,4.87,-2.24,25.82,85
334,lasa,46.62,10.7,10.12,93
335,coroico,-16.19,-67.73,17.0,11
336,kargasok,59.06,80.86,11.85,66
337,pierre,44.37,-100.35,15.16,76
338,soyo,-6.13,12.37,23.84,90
339,mookane,-23.69,26.66,12.82,54
340,saint george,37.1,-113.58,27.0,10
341,otane,-39.88,176.63,6.67,95
342,bam,29.11,58.36,30.76,17
343,zhigansk,66.77,123.37,3.47,73
344,amnat charoen,15.86,104.63,26.65,80
345,sechelt,49.47,-123.77,14.07,84
346,meleuz,52.97,55.92,16.47,59
347,narsaq,60.92,-46.05,15.0,33
348,avera,33.19,-82.53,30.18,74
349,ust-maya,60.42,134.53,11.61,66
350,karpathos,35.51,27.21,22.0,88
351,potsdam,52.4,13.07,16.42,62
352,santa cruz,-17.8,-63.17,28.0,69
353,kailua,21.4,-157.74,27.84,62
354,puerto del rosario,28.5,-13.86,22.0,68
355,gayny,60.31,54.32,16.32,67
356,moroni,-11.7,43.26,23.82,68
357,biryusinsk,55.96,97.82,5.48,97
358,matara,5.95,80.54,26.46,88
359,krasnoselkup,65.7,82.47,9.95,90
360,yago,21.83,-105.07,31.0,55
361,bathsheba,13.22,-59.52,29.0,70
362,pangody,65.85,74.49,13.2,80
363,angoche,-16.23,39.91,21.57,80
364,beitbridge,-22.22,30.0,15.94,65
365,kloulklubed,7.04,134.26,24.0,100
366,coquimbo,-29.95,-71.34,15.0,72
367,asasa,7.1,39.2,11.95,77
368,westport,41.14,-73.36,26.99,44
369,memari,23.2,88.12,30.0,89
370,kahului,20.89,-156.47,27.16,52
371,saint anthony,45.02,-93.22,23.38,88
372,waipawa,-41.41,175.52,10.29,84
373,sabha,27.04,14.43,33.35,19
374,cobija,-11.03,-68.77,27.35,72
375,pitimbu,-7.47,-34.81,25.0,94
376,koregaon,18.65,74.08,24.36,81
377,gouyave,12.16,-61.73,28.0,88
378,medyn,54.97,35.86,21.0,83
379,altay,47.87,88.12,10.45,66
380,pinhao,-25.7,-51.66,16.63,98
381,robertsport,6.75,-11.37,26.59,85
382,aykhal,66.0,111.5,0.0,86
383,vikhorevka,56.12,101.16,8.94,100
384,miles city,46.41,-105.84,19.0,32
385,lashio,22.93,97.75,20.23,99
386,mezhova,48.25,36.73,19.21,69
387,beringovskiy,63.05,179.32,9.04,59
388,eirunepe,-6.66,-69.87,28.39,73
389,tiarei,-17.53,-149.33,29.0,62
390,airai,-8.93,125.41,13.38,99
391,buraydah,26.33,43.98,31.0,16
392,peniche,39.36,-9.38,15.75,78
393,arbazh,57.68,48.31,15.01,89
394,carutapera,-1.2,-46.02,25.21,86
395,magdagachi,53.45,125.8,12.17,90
396,tokmak,47.25,35.71,19.66,83
397,port macquarie,-31.43,152.92,15.7,100
398,jumla,29.27,82.18,13.66,69
399,pochutla,15.74,-96.47,30.0,70
400,nalut,30.33,10.85,26.77,32
401,awbari,26.59,12.78,32.37,17
402,tyler,32.35,-95.3,33.93,50
403,suntar,62.14,117.63,9.66,90
404,pandan,14.05,124.17,27.66,81
405,bereda,43.27,-7.54,11.11,1
406,alofi,-19.06,-169.92,27.0,74
407,las cruces,32.31,-106.78,27.46,5
408,acolla,-11.73,-75.55,13.93,46
409,port hueneme,34.15,-119.2,31.63,21
410,jalu,29.03,21.55,30.74,27
411,san francisco,37.77,-122.42,23.63,24
412,chumikan,54.72,135.31,3.12,97
413,bairiki,1.33,172.98,31.0,70
414,port antonio,18.18,-76.46,29.01,78
415,boueni,-12.9,45.08,25.0,73
416,laguna,38.42,-121.42,32.52,14
417,honningsvag,70.98,25.97,5.51,67
418,saint-joseph,-21.37,55.62,16.08,72
419,camara de lobos,32.63,-16.97,18.11,63
420,mitchell,43.71,-98.03,16.0,82
421,jining,35.41,116.58,23.07,89
422,ponta delgada,37.73,-25.67,17.0,77
423,matamoros,25.53,-103.25,37.59,14
424,goderich,43.75,-81.72,24.44,49
425,barmer,25.75,71.38,31.5,57
426,baghdad,33.34,44.4,29.0,30
427,vila,42.03,-8.16,14.59,72
428,killybegs,54.63,-8.45,11.67,94
429,sisimiut,66.94,-53.67,4.95,79
430,villanueva,15.32,-88.0,31.37,66
431,nishihara,26.18,127.76,24.73,94
432,ginda,30.69,78.49,18.04,63
433,sisophon,13.59,102.97,25.2,91
434,kindu,-2.95,25.95,22.98,66
435,emba,48.83,58.14,21.88,34
436,klaksvik,62.23,-6.59,9.0,93
437,saint-marc-des-carrieres,46.68,-72.05,22.22,23
438,erzin,36.96,36.2,21.67,90
439,gorontalo,0.54,123.06,24.73,80
440,iranshahr,27.2,60.68,35.0,23
441,anadyr,64.75,177.48,15.0,51
442,nouadhibou,20.93,-17.03,29.0,51
443,la ronge,55.1,-105.28,17.0,45
444,matagami,49.75,-77.63,19.0,24
445,gravdal,68.12,13.5,6.67,74
446,shimoda,34.67,138.95,22.22,76
447,ereymentau,51.62,73.1,14.93,73
448,ixtapa,20.7,-105.2,27.89,69
449,hambantota,6.12,81.12,27.0,100
450,saint-philippe,-21.36,55.77,17.04,72
451,bubaque,11.28,-15.83,26.98,84
452,pemba,-12.97,40.52,24.55,69
453,mubi,10.27,13.26,22.2,75
454,muhos,64.81,25.99,9.0,70
455,sumenep,-7.02,113.87,25.4,77
456,oneonta,42.45,-75.06,28.15,44
457,victoria point,-27.58,153.3,16.42,91
458,krasnoarmeysk,51.02,45.7,16.04,85
459,rapid valley,44.06,-103.15,18.3,32
460,urucui,-7.23,-44.56,26.64,59
461,saint-augustin,51.23,-58.65,8.33,63
462,conceicao do araguaia,-8.26,-49.26,26.09,68
463,pinega,64.7,43.39,14.63,95
464,gamboma,-1.88,15.86,23.05,89
465,san rafael,-34.62,-68.33,13.41,36
466,mogadishu,2.04,45.34,26.26,81
467,feldkirchen-westerham,47.91,11.84,11.85,79
468,ouesso,1.61,16.05,22.16,95
469,sirohi,24.88,72.87,28.86,65
470,yeppoon,-23.13,150.73,18.0,72
471,abrau-dyurso,44.69,37.59,18.94,88
472,bodden town,19.28,-81.25,29.73,74
473,igarka,67.47,86.58,7.89,83
474,jutai,-5.18,-68.9,28.46,71
475,nicoya,10.15,-85.45,32.0,66
476,santa maria,-29.68,-53.81,16.0,93
477,gizo,-8.1,156.84,29.03,70
478,esfarayen,37.08,57.51,14.0,47
479,gaffney,35.07,-81.65,31.12,65
480,powell river,49.85,-124.54,13.49,76
481,perelyub,51.87,50.37,17.41,79
482,smithers,54.78,-127.17,16.0,38
483,adrar,20.5,-10.07,34.18,31
484,inyonga,-6.72,32.07,18.18,59
485,nemuro,43.32,145.57,11.51,87
486,muli,2.92,73.57,28.41,78
487,kholodnyy,62.72,147.95,11.14,63
488,trelew,-43.25,-65.31,14.09,37
489,plettenberg bay,-34.05,23.37,17.73,55
490,lukovetskiy,64.3,41.92,14.0,100
491,cienaga de oro,8.87,-75.62,31.0,70
492,byron bay,-28.65,153.62,15.13,93
493,caconda,-13.73,15.07,11.93,45
494,haines junction,60.75,-137.51,18.87,26
495,kralendijk,12.15,-68.27,30.0,70
496,atwater,37.35,-120.61,31.91,14
497,grand-santi,4.25,-54.38,25.06,86
498,itoman,26.12,127.67,24.7,94
499,poplar bluff,36.76,-90.39,30.5,66
500,roald,62.58,6.13,9.87,87
501,najran,17.49,44.13,28.0,21
502,strathroy,42.96,-81.62,30.12,31
503,kosonsoy,41.26,71.55,21.0,49
504,rockland,41.17,-74.05,30.96,44
505,volksrust,-27.37,29.88,5.06,62
506,lakinsk,56.02,39.95,15.85,93
507,killarney,52.05,-9.52,10.87,81
508,port shepstone,-30.74,30.45,17.39,51
509,dawei,14.08,98.2,25.33,87
510,osa,57.28,55.46,17.48,61
511,mbuji-mayi,-6.15,23.6,23.52,43
512,ancud,-41.87,-73.82,10.26,93
513,port augusta,-32.5,137.77,1.01,100
514,bastia,42.67,9.33,15.49,93
515,kingsville,27.52,-97.86,33.36,70
516,dabat,12.98,37.77,16.28,66
517,kamaishi,39.27,141.88,21.99,54
518,hameenlinna,61.0,24.46,13.02,54
519,zhanaozen,43.3,52.8,26.42,17
520,claremore,36.31,-95.62,31.27,15
521,biak,-0.91,122.88,24.31,88
522,tortoli,39.93,9.66,15.77,34
523,bolu,40.67,31.58,17.76,67
524,skvyra,49.73,29.67,19.12,85
525,cururupu,-1.83,-44.87,24.34,92
526,le port,-20.94,55.29,17.27,68
527,cayenne,4.93,-52.33,28.0,74
528,yerbogachen,61.28,108.01,7.83,80
529,ayan,56.45,138.17,4.17,98
530,praia da vitoria,38.73,-27.07,19.0,77
531,zabol,32.25,67.25,20.25,21
532,gladstone,-23.85,151.25,17.0,88
533,porto walter,-8.27,-72.74,28.93,66
534,champerico,14.3,-91.92,32.0,66
535,pouembout,-21.13,164.9,23.77,73
536,staryy nadym,65.61,72.68,15.7,77
537,petropavlovka,50.61,105.32,11.83,57
538,sao miguel do araguaia,-13.28,-50.16,24.75,55
539,majene,-3.54,118.97,25.18,86
540,bossangoa,6.49,17.46,22.27,86
541,litovko,49.24,135.17,18.49,68
542,emerald,-23.53,148.17,11.0,57
543,comodoro rivadavia,-45.87,-67.5,14.0,41
544,koslan,63.46,48.9,20.03,65
545,mawlaik,23.63,94.42,25.71,91
